time,value
2025-03-27T03:51:49.255805114Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:50.267579039Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:51.274898074Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:52.276143124Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:53.296642235Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:54.305259541Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:55.311469637Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:56.310775899Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:57.311966924Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:58.341335909Z,"{""lat"":30.5162859,""lon"":76.659887}"
2025-03-27T03:51:59.330651911Z,"{""lat"":30.5162859,""lon"":76.659887}"
2025-03-27T03:52:00.389289752Z,"{""lat"":30.5162859,""lon"":76.659887}"
2025-03-27T03:52:01.371283733Z,"{""lat"":30.5162859,""lon"":76.659887}"
2025-03-27T03:52:02.363024033Z,"{""lat"":30.5162859,""lon"":76.659887}"
2025-03-27T03:52:03.383641006Z,"{""lat"":30.5162859,""lon"":76.659887}"
2025-03-27T03:52:04.402280759Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:05.383088569Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:06.424528044Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:07.413517755Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:08.443605753Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:09.45489405Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:10.43401047Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:13.193347559Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:14.203964663Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:15.205027754Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:16.212957928Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:17.210974732Z,"{""lat"":30.5162984,""lon"":76.6599408}"
2025-03-27T03:52:18.213507802Z,"{""lat"":30.5163032,""lon"":76.659858}"
2025-03-27T03:52:19.21423338Z,"{""lat"":30.5163032,""lon"":76.659858}"
2025-03-27T03:52:20.213749218Z,"{""lat"":30.5163032,""lon"":76.659858}"
2025-03-27T03:52:21.202893231Z,"{""lat"":30.5163032,""lon"":76.659858}"
2025-03-27T03:52:22.232802673Z,"{""lat"":30.5163032,""lon"":76.659858}"
2025-03-27T03:52:23.233628615Z,"{""lat"":30.5163032,""lon"":76.659858}"
2025-03-27T03:52:24.224018982Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:25.234503569Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:26.23430987Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:27.272800421Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:28.344747766Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:29.244138431Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:30.234557653Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:31.233462672Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:32.234120663Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:33.253795132Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:34.222842478Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:35.234611719Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:36.234458391Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:37.253777844Z,"{""lat"":30.5163718,""lon"":76.6598666}"
2025-03-27T03:52:38.235018631Z,"{""lat"":30.5163659,""lon"":76.659888}"
2025-03-27T03:52:39.234661814Z,"{""lat"":30.5163659,""lon"":76.659888}"
2025-03-27T03:52:40.253420823Z,"{""lat"":30.5163659,""lon"":76.659888}"
2025-03-27T03:52:41.233372972Z,"{""lat"":30.5163659,""lon"":76.659888}"
2025-03-27T03:52:42.258827101Z,"{""lat"":30.5163659,""lon"":76.659888}"
2025-03-27T03:52:43.253213454Z,"{""lat"":30.5163659,""lon"":76.659888}"
2025-03-27T03:52:44.23351114Z,"{""lat"":30.5163659,""lon"":76.659888}"
2025-03-27T03:52:45.233104617Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:46.253622984Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:47.322758718Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:48.292349125Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:49.272822598Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:50.282625164Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:51.22490877Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:52.250669416Z,"{""lat"":30.5163946,""lon"":76.6598943}"
2025-03-27T03:52:53.244921411Z,"{""lat"":30.5163946,""lon"":76.6598943}"
